PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Species,Strain/Sex,Route,Dose,Tumor Site: Type of Lesion,Results,Reference
10,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RABBIT,"NZW/ MALE, FEMALE",ORAL,100 MG 2/WK (TOTAL DOSE 21-52 G AS POWDER),"URINARY BLADDER: PAPILLOMA, ADENOCARCINOMA; URETER: PAPILLOMA, ADENOCARCINOMA",POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
11,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,ALBINO/FEMALE,ORAL,0.125% IN DIET,URINARY BLADDER: CARCINOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Y-47 439]"
12,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,ALBINO/MALE,ORAL,0.018; 0.036% IN DIET FOR 90 DAYS,LIVER: HEPATOMA; EAR (DUCT); INTESTINES (SMALL),POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
13,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,"ALBINO/ MALE, FEMALE",ORAL,0.036% IN DIET FOR 8 MO,LIVER: HEPATOMA; MAMMARY GLAND; EAR (DUCT),POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
14,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,"BUFFALO/ MALE, FEMALE",ORAL,0.05% IN DIET FOR 23 WK (580 MG/RAT),LIVER: HEPATOMA; EAR (DUCT): CARCINOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
15,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,STRAIN-CD/FEMALE,ORAL,80; 250 PPM IN DIET FOR 78 WK (LOW DOSE) OR 50 WK (HIGH DOSE),"LIVER: NEOPLASTIC NODULE, HEPATOCELLULAR CARCINOMA; MAMMARY GLAND: ADENOCARCINOMA",POSITIVE,"[WEISBURGER,EK, ULLAND,BM, NAM,J-M, GART,JJ AND WEISBURGER,JH; CARCINOGENICITY TESTS OF CERTAIN ENVIRONMENTAL AND INDUSTRIAL CHEMICALS; J. NATL. CANCER INST. 67:75-88, 1981]"
16,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,STRAIN-CD/MALE,ORAL,80; 250 PPM IN DIET FOR 78 WK (LOW DOSE) OR 50 WK (HIGH DOSE),LIVER: HEPATOCELLULAR CARCINOMA,POSITIVE,"[WEISBURGER,EK, ULLAND,BM, NAM,J-M, GART,JJ AND WEISBURGER,JH; CARCINOGENICITY TESTS OF CERTAIN ENVIRONMENTAL AND INDUSTRIAL CHEMICALS; J. NATL. CANCER INST. 67:75-88, 1981]"
17,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,FEMALE,ORAL,0.03% IN DIET,EYE,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
18,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,FEMALE,ORAL,1.62 MMOL/KG DIET FOR 8 MO,MAMMARY GLAND; EAR (DUCT); INTESTINES (SMALL),POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
19,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,F344/MALE,ORAL,"0.06% IN DIET FOR 3 WK, THEN CONTROL DIET FOR 1 WK, REPEATED 3X","TESTES: MESOTHELIOMA; LIVER: HEPATOCELLULAR CARCINOMA, CHOLANGIOCARCINOMA",POSITIVE,"[CABRAL,JRP AND NEAL,GE; TESTICULAR MESOTHELIOMAS IN RATS EXPOSED TO N-2-FLUORENYLACETAMIDE (FAA); TUMORI 69:195-199, 1983]"
20,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,HOLTZMAN/FEMALE,ORAL,1.62 MMOL/KG IN DIET,MAMMARY GLAND; EAR (DUCT); INTESTINES (SMALL),POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
21,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,HOLTZMAN/MALE,ORAL,1.62 MMOL/KG IN DIET,LIVER; EAR (DUCT); INTESTINES (SMALL),POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
22,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,"LONG-EVANS/ MALE, FEMALE",ORAL,IN DIET,EAR (AUDITORY CANAL): SQUAMOUS CELL CARCINOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
23,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,MALE,ORAL,1.62 MMOL/KG IN DIET FOR 8 MO,LIVER: HEPATOMA; INTESTINES (SMALL); EAR (DUCT),POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
24,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,PIEBALD/FEMALE,ORAL,0.03% IN DIET,MAMMARY GLAND: CARCINOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
25,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,"PIEBALD/ MALE, FEMALE",ORAL,4 MG DAILY IN DIET FOR 25 WK,LIVER: HEPATOMA; EAR (DUCT): CARCINOMA; INTESTINES: CARCINOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
26,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,"SHERMAN/ MALE, FEMALE",ORAL,0.03% IN DIET FOR LIFE,LIVER: CARCINOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
27,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,SPRAGUE-DAWLEY/FEMALE,ORAL,300 MG/KG IN SEMI-PURIFIED OR STOCK DIET,EAR (DUCT): CARCINOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
28,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,SPRAGUE-DAWLEY/FEMALE,INTRAPERITONEAL,1 MG/0.1 ML 3/WK FOR 4 WK (TOTAL DOSE 0.17 MMOL/RAT),MAMMARY GLAND: ADENOCARCINOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. 72-73 356]"
29,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,WISTAR/MALE,DERMAL,IN ACETONE,LIVER: HEPATOMA; INTESTINES: CARCINOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
30,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,"WISTAR/ MALE, FEMALE",ORAL,0.07% IN DIET,LIVER: HEPATOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
31,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,"WISTAR/ MALE, FEMALE",ORAL,0.03% IN DIET FOR LIFE,LIVER: CARCINOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
32,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,"SHEFFIELD/ MALE, FEMALE",ORAL,4 MG DAILY IN DIET FOR 25 WK,LIVER: HEPATOMA; EAR (DUCT): CARCINOMA; INTESTINES: CARCINOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
33,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,AES/FEMALE,ORAL,300 MG/KG IN SEMI-PURIFIED OR STOCK DIET,EAR (DUCT): CARCINOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
34,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RAT,PIEBALD/MALE,DERMAL,IN ACETONE,LIVER: HEPATOMA; INTESTINES: CARCINOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
35,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,MOUSE,BALB/C/FEMALE,ORAL,0; 75; 100; 150 PPM IN DIET UP TO 33 MO (STUDY DURATION: 33 MO),LIVER: HEPATOCELLULAR ADENOMA OR CARCINOMA; BLADDER: TRANSITIONAL CELL CARCINOMA,POSITIVE,"[SHINOHARA,Y AND FRITH,CH; CORRELATION BETWEEN SPONTANEOUS AND EXPERIMENTALLY INDUCED TUMORS IN FEMALE BALB/C MICE IN A LARGE 2-ACETYLAMINOFLUORENE STUDY; J. ENVIRON. PATHOL. TOXICOL. ONCOL. 6(5-6):85-96, 1986]"
36,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Inactive,,,,FISH,"GUPPY/ MALE,  FEMALE",IMMERSION,"0; 1 MG/L IN WELL WATER FOR 1 6 HR EXPOSURE OR FOR 1,2,3 OR 4 12 HR EXPOSURES, MULTIPLE EXPOSURES GIVEN AT WEEKLY INTERVALS (STUDY DURATION: 52 WK)",,NEGATIVE,"[JAMES,MO, HAWKINS,WE AND WALKER,WW; PHASE 1 AND PHASE 2 BIOTRANSFORMATION AND CARCINOGENICITY OF 2-ACETYLAMINOFLUORENE IN MEDAKA AND GUPPY; AQUAT. TOXICOL. 28(1-2):79-95, 1994]"
37,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Inactive,,,,FISH,"MEDAKA/ MALE, FEMALE",IMMERSION,"0; 1 MG/L IN WELL WATER FOR 1 6 HR EXPOSURE OR FOR 1,2,3 OR 4 12 HR EXPOSURES, MULTIPLE EXPOSURES GIVEN AT WEEKLY INTERVALS (STUDY DURATION: 52 WK)",,NEGATIVE,"[JAMES,MO, HAWKINS,WE AND WALKER,WW; PHASE 1 AND PHASE 2 BIOTRANSFORMATION AND CARCINOGENICITY OF 2-ACETYLAMINOFLUORENE IN MEDAKA AND GUPPY; AQUAT. TOXICOL. 28(1-2):79-95, 1994]"
38,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Inactive,,,,FISH,"MEDAKA/ MALE, FEMALE",IMMERSION,"0; 1 MG/L IN WELL WATER FOR 7 D CONTINUOUS EXPOSURE, SOLUTIONS RENEWED EVERY 24 HR (STUDY DURATION: 52 WK)",,NEGATIVE,"[JAMES,MO, HAWKINS,WE AND WALKER,WW; PHASE 1 AND PHASE 2 BIOTRANSFORMATION AND CARCINOGENICITY OF 2-ACETYLAMINOFLUORENE IN MEDAKA AND GUPPY; AQUAT. TOXICOL. 28(1-2):79-95, 1994]"
39,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,FISH,"GUPPY/ MALE, FEMALE",IMMERSION,"0; 1 MG/L IN WELL WATER FOR 7 D CONTINUOUS EXPOSURE, SOLUTIONS RENEWED EVERY 24 HR (STUDY DURATION: 52 WK)",LIVER: TUMOR,POSITIVE,"[JAMES,MO, HAWKINS,WE AND WALKER,WW; PHASE 1 AND PHASE 2 BIOTRANSFORMATION AND CARCINOGENICITY OF 2-ACETYLAMINOFLUORENE IN MEDAKA AND GUPPY; AQUAT. TOXICOL. 28(1-2):79-95, 1994]"
40,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,MOUSE,EU-PIM-1/MALE,GAVAGE,0; 25; 100 MG/KG 1/D FOR 38 WK (STUDY DURATION: 38 WK),LYMPHATIC SYSTEM: LYMPHOMA,POSITIVE,"[STORER,RD, CARTWRIGHT,ME, COOK,WO, SOPER,KA AND NICOLS,WW; SHORT-TERM CARCINOGENESIS BIOASSAY OF GENOTOXIC PROCARCINOGENS IN PM TRANSGENIC MICE; CARCINOGENESIS 16(2):285-293, 1995]"
41,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Inactive,,,,MOUSE,EU-PIM-1/FEMALE,GAVAGE,0; 25; 100 MG/KG 1/D FOR 38 WK (STUDY DURATION: 38 WK),,NEGATIVE,"[STORER,RD, CARTWRIGHT,ME, COOK,WO, SOPER,KA AND NICOLS,WW; SHORT-TERM CARCINOGENESIS BIOASSAY OF GENOTOXIC PROCARCINOGENS IN PM TRANSGENIC MICE; CARCINOGENESIS 16(2):285-293, 1995]"
42,363897952,178,CC(=O)N,Active,,,,RAT,WISTAR/MALE,ORAL,1.25; 2.5; 5% IN DIET FOR ONE YR,"LIVER: TRABECULAR CARCINOMA, ADENOCARCINOMA, HEPATOMA",POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V7 197 Y74]"
43,363897953,1983,CC(=O)NC1=CC=C(C=C1)O,Active,,,,MOUSE,"STRAIN-IF/MALE,FEMALE",ORAL,0.5; 1.0% IN DIET FOR 18 MO,"LIVER: HEPATOCELLULAR ADENOMA, CARCINOMA",POSITIVE,"[FLAKS,A AND FLAKS,B; INDUCTION OF LIVER CELL TUMOURS IN IF MICE BY PARACETAMOL; CARCINOGENESIS 4:363-368, 1983]"
44,363897953,1983,CC(=O)NC1=CC=C(C=C1)O,Inactive,,,,RAT,F344/MALE,ORAL,0; 600; 3000; 6000 PPM IN DIET FOR 103 WK (STUDY DURATION: 106 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-394 Y93]"
45,363897953,1983,CC(=O)NC1=CC=C(C=C1)O,Inactive,,,,MOUSE,B6C3F1/MALE,ORAL,0; 600; 3000; 6000 PPM IN DIET FOR 103 WK (STUDY DURATION: 106 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-394 Y93]"
